"Fitness", "Individual", "Variable", "Value"
0.6386228509444422, 58, Renovation Cycle, 0.4470281645273735
0.6386228509444422, 58, Energy Intensity, 0.2229347609930783
0.6386228509444422, 58, Typesplit and Splitshare, 0.8646677227995169
0.6386228509444422, 58, Dwelling, 0.41343943178050335
0.6353741283459295, 59, Population, 0.20461394150362944
0.6353741283459295, 59, Renovation Cycle, 0.8162829682577679
0.6353741283459295, 59, Energy Intensity, 0.4044550936137924
0.6353741283459295, 59, Typesplit and Splitshare, 0.7501837227958628
0.6353741283459295, 59, Dwelling, 0.19244247080709587
0.6196995705685214, 60, Population, 0.8263327488144318
0.6196995705685214, 60, Renovation Cycle, 0.08860191321176025
0.6196995705685214, 60, Energy Intensity, 0.6374897339183511
0.6196995705685214, 60, Typesplit and Splitshare, 0.9512970704996937
0.6196995705685214, 60, Dwelling, 0.28679805494986543
0.6081022107644073, 61, Population, 0.9521882476799116
0.6081022107644073, 61, Renovation Cycle, 0.7702708553650653
0.6081022107644073, 61, Energy Intensity, 0.5135631310366527
0.6081022107644073, 61, Typesplit and Splitshare, 0.9611893809236529
0.6081022107644073, 61, Dwelling, 0.19220307074022924
0.5773115698214539, 62, Population, 0.5159609574597781
0.5773115698214539, 62, Renovation Cycle, 0.9912233667242429
0.5773115698214539, 62, Energy Intensity, 0.36943116930990594
0.5773115698214539, 62, Typesplit and Splitshare, 0.8848249834281086
0.5773115698214539, 62, Dwelling, 0.7141102161047733
0.5666326447741652, 63, Population, 0.010959151023607117
0.5666326447741652, 63, Renovation Cycle, 0.7332224806760779
0.5666326447741652, 63, Energy Intensity, 0.3022586566407143
0.5666326447741652, 63, Typesplit and Splitshare, 0.694971455861265
0.5666326447741652, 63, Dwelling, 0.30160960673129944
0.5521023700905588, 64, Population, 0.6491949919532056
0.5521023700905588, 64, Renovation Cycle, 0.40455021431535365
0.5521023700905588, 64, Energy Intensity, 0.0655921370113639
0.5521023700905588, 64, Typesplit and Splitshare, 0.9075287303718855
0.5521023700905588, 64, Dwelling, 0.9970596671272174
0.549971431484007, 65, Population, 0.6214900783042391
0.549971431484007, 65, Renovation Cycle, 0.8948324531118268
0.549971431484007, 65, Energy Intensity, 0.2284268658914792
0.549971431484007, 65, Typesplit and Splitshare, 0.9014362428100532
0.549971431484007, 65, Dwelling, 0.0012890929346283109
0.5300203131446972, 66, Population, 0.2850818293086562
